timestamp,underlying_price
2024-01-01T09:30:00,150.00
2024-01-01T09:30:01,150.25
2024-01-01T09:30:02,150.10
2024-01-01T09:30:03,149.80
2024-01-01T09:30:04,149.50
2024-01-01T09:30:05,149.90
2024-01-01T09:30:06,150.30
2024-01-01T09:30:07,150.75
2024-01-01T09:30:08,151.00
2024-01-01T09:30:09,151.20
2024-01-01T09:30:10,151.00
2024-01-01T09:30:11,150.80
2024-01-01T09:30:12,150.50
2024-01-01T09:30:13,150.20
2024-01-01T09:30:14,149.90
2024-01-01T09:30:15,149.70
2024-01-01T09:30:16,150.00
2024-01-01T09:30:17,150.40
2024-01-01T09:30:18,150.60
2024-01-01T09:30:19,150.90
